Word,Category,Hint
Lyme Park,Where,"Large estate located south of Disley, Cheshire, England"
Fountains Abbey,Where,One of the largest and best preserved ruined Cistercian monasteries in England
Lindisfarne,Where,Tidal island off the northeast coast of England
The Holy Island of Lindisfarne,Where,Tidal island off the northeast coast of England
Isles of Scilly,Where,Archipelago off the southwestern tip of Cornwall
St Michael's Mount,Where,"Tidal island in Mount's Bay, Cornwall, England"
Durdle Door,Where,"Natural limestone arch on the Jurassic Coast near Lulworth in Dorset, England"
Lulworth Cove,Where,"Cove near the village of West Lulworth, on the Jurassic Coast in Dorset, England"
Old Harry Rocks,Where,"Three chalk formations, including a stack and a stump, located at Handfast Point, on the Isle of Purbeck in Dorset"
Beachy Head,Where,"Chalk headland in East Sussex, England"
North Downs,Where,Ridge of chalk hills in south east England that stretches from Farnham in Surrey to the White Cliffs of Dover in Kent
Chiltern Hills,Where,Chalk escarpment in England
Peak District,Where,Upland area in England at the southern end of the Pennines
Yorkshire Dales,Where,"Upland area of the Pennines in the historic county of Yorkshire, England"
Lake District,Where,Mountainous region in North West England
Helvellyn,Where,Mountain in the English Lake District
Snowdonia,Where,Mountainous region in northwestern Wales
Brecon Beacons,Where,Mountain range in South Wales
Pembrokeshire Coast,Where,National park along the Pembrokeshire coast in west Wales
Gower Peninsula,Where,Peninsula on the south coast of Wales
Caernarfon Castle,Where,"Medieval fortress in Caernarfon, Gwynedd, north-west Wales"
Conwy Castle,Where,"Fortification in Conwy, located in North Wales"
Harlech Castle,Where,"Medieval fortification in Harlech, Gwynedd, Wales"
Caerphilly Castle,Where,Medieval fortification in Caerphilly in South Wales
Castell Coch,Where,19th-century Gothic Revival castle built above the village of Tongwynlais in South Wales
Portmeirion,Where,"Tourist village in Gwynedd, North Wales"
Llandudno,Where,"Seaside resort, town and community in Conwy County Borough, Wales"
The Trossachs,Where,"Wooded glens, braes, and lochs in Scotland"
Glencoe,Where,"Glen of volcanic origins, in the Highlands of Scotland"
Eilean Donan Castle,Where,"Picturesque castle that frequently appears in photographs, film and television"
Wallace Monument,Where,"Tower standing on the shoulder of the Abbey Craig, a hilltop overlooking Stirling in Scotland"
Falkirk Wheel,Where,Rotating boat lift in central Scotland
The Kelpies,Where,"30-metre-high horse-head sculptures depicting kelpies, located between Falkirk and Grangemouth"
Forth Bridge,Where,Cantilever railway bridge across the Firth of Forth in the east of Scotland
Holyrood Palace,Where,Official residence of the British monarch in Scotland
Kelvingrove Art Gallery and Museum,Where,"Museum and art gallery in Glasgow, Scotland"
Riverside Museum,Where,Location of the Glasgow Museum of Transport
Glasgow Cathedral,Where,One of the grandest medieval buildings in Scotland
Orkney,Where,Archipelago in the Northern Isles of Scotland
Shetland,Where,Subarctic archipelago in the Northern Isles of Scotland
Outer Hebrides,Where,Chain of inter-connected islands off the west coast of mainland Scotland
Inner Hebrides,Where,Archipelago off the west coast of mainland Scotland
St. Kilda,Where,Isolated archipelago situated 40 miles west-northwest of North Uist in the North Atlantic Ocean
Staffa,Where,"Island of the Inner Hebrides in Argyll and Bute, Scotland"
Fingal's Cave,Where,"Sea cave on the uninhabited island of Staffa, in the Inner Hebrides of Scotland"
Iona,Where,Small island in the Inner Hebrides of Scotland
Mull,Where,Second-largest island of the Inner Hebrides
Jura,Where,Island in the Inner Hebrides of Scotland
Islay,Where,Southernmost of the Inner Hebrides of Scotland
Arran,Where,Island off the coast of Scotland
Ring of Brodgar,Where,"Neolithic henge and stone circle about 6 miles north-east of Stromness on the mainland, the largest island in Orkney, Scotland"
Standing Stones of Stenness,Where,"Neolithic monument on the mainland of Orkney, Scotland"
Maeshowe,Where,"Neolithic chambered cairn and passage grave situated on Mainland, Orkney, Scotland"
Jarlshof,Where,"Prehistoric archaeological site in Shetland, Scotland"
Mousa Broch,Where,"Iron Age broch tower on the island of Mousa in Shetland, Scotland"
Callanish Stones,Where,Arrangement of standing stones placed in a cruciform pattern with a central stone circle
Hill of Tara,Where,"Hill and ancient ceremonial and burial site in County Meath, Ireland"
Rock of Cashel,Where,Historic site in Ireland's County Tipperary
The Burren,Where,"Region of environmental interest primarily located in northwestern County Clare, Ireland"
Connemara,Where,"Cultural region in County Galway, Ireland"
Ring of Kerry,Where,"Tourist trail in County Kerry, south-western Ireland"
Dingle Peninsula,Where,"Peninsula in County Kerry, Ireland"
Aran Islands,Where,"Group of three islands at the mouth of Galway Bay, on the west coast of Ireland"
Killarney National Park,Where,"National park in County Kerry, Ireland"
Glendalough,Where,"Glacial valley in County Wicklow, Ireland"
Wicklow Mountains,Where,Mountain range in the southeast of Ireland
Guinness Storehouse,Where,"Tourist attraction at St. James's Gate Brewery in Dublin, Ireland"
Trinity College Dublin,Where,"Sole constituent college of the University of Dublin, a research university located in Dublin, Ireland"
Book of Kells,Where,"Illuminated manuscript Gospel book in Latin, containing the four Gospels of the New Testament together with various prefatory texts and tables"
Kilmainham Gaol,Where,"Former prison in Kilmainham, Dublin, Ireland"
Dublin Castle,Where,"Major Irish government complex, conference centre, and tourist attraction, off Dame Street in Dublin, Ireland"
St. Patrick's Cathedral,Where,"Dublin,National Cathedral of the Church of Ireland"
Christ Church Cathedral,Where,"Dublin,Cathedral of the United Dioceses of Dublin and Glendalough and the cathedral of the ecclesiastical province of the United Provinces of Dublin and Cashel in the Church of Ireland"
Titanic Belfast,Where,Visitor attraction and a monument to Belfast's maritime heritage on the site of the former Harland & Wolff shipyard
Carrick-a-Rede Rope Bridge,Where,"Rope bridge near Ballintoy in County Antrim, Northern Ireland"
Dunluce Castle,Where,Now-ruined medieval castle in Northern Ireland
Mourne Mountains,Where,Granite mountain range in County Down in the south-east of Northern Ireland
Slieve Donard,Where,Highest mountain in Northern Ireland and the wider province of Ulster
Rijksmuseum,Where,Dutch national museum dedicated to arts and history in Amsterdam
Van Gogh Museum,Where,Dutch art museum dedicated to the works of Vincent van Gogh and his contemporaries in Amsterdam
Anne Frank House,Where,Writer's house and biographical museum dedicated to Jewish wartime diarist Anne Frank
Kinderdijk,Where,"Village in the Netherlands' South Holland province, known for its iconic 18th-century windmills"
Zaanse Schans,Where,"Neighbourhood of Zaandam, near Zaandijk, Netherlands"
Atomium,Where,"Landmark building in Brussels, originally constructed for the 1958 Brussels World's Fair"
Cinquantenaire,Where,"Large public park in the easternmost part of the European Quarter in Brussels, Belgium"
Mini-Europe,Where,"Miniature park located in Bruparck, at the foot of the Atomium, in Brussels, Belgium"
Belfry of Bruges,Where,"Medieval bell tower in the centre of Bruges, Belgium"
Gravensteen,Where,"Castle in Ghent, Belgium"
Bock,Where,Promontory in the north-eastern corner of Luxembourg City's old historical district
Chemin de la Corniche,Where,Promenade in Luxembourg City
Casemates du Bock,Where,Underground fortifications in Luxembourg City
Reichstag Building,Where,"Historic building in Berlin which houses the Bundestag, the lower house of Germany's parliament"
Memorial to the Murdered Jews of Europe,Where,Memorial in Berlin to the Jewish victims of the Holocaust
East Side Gallery,Where,Permanent open-air gallery on the longest surviving section of the Berlin Wall in Berlin-Friedrichshain
Museum Island,Where,Museum complex on the northern part of the Spree Island in the historic heart of Berlin
Pergamon Museum,Where,Listed building on the Museum Island in the historic centre of Berlin
Neues Museum,Where,Listed building on the Museum Island in the historic centre of Berlin
Altes Museum,Where,Listed building on the Museum Island in the historic centre of Berlin
Potsdamer Platz,Where,"Public square and traffic intersection in the centre of Berlin, Germany"
Sanssouci Palace,Where,"Former summer palace of Frederick the Great, King of Prussia, in Potsdam, near Berlin"
Cecilienhof Palace,Where,"Palace in Potsdam, Brandenburg, Germany"
Zwinger,Where,"Palatial complex with gardens in Dresden, Germany"
Frauenkirche,Where,"Dresden,Lutheran church in Dresden, the capital of the German state of Saxony"
Dresden Castle,Where,"One of the oldest buildings in Dresden, it has been the residence of the electors and kings of Saxony for almost 400 years"
Marienplatz,Where,Central square in the city centre of Munich since 1158
Nymphenburg Palace,Where,"Baroque palace in Munich, Bavaria, southern Germany"
English Garden,Where,"Munich,Large public park in the centre of Munich, Bavaria"
Deutsches Museum,Where,"World's largest science and technology museum, in Munich, Germany"
BMW Welt,Where,Multi-use exhibition centre used for BMW's public relations
Dachau Concentration Camp,Where,"First of the Nazi concentration camps opened in Germany, intended to hold political prisoners"
Konigssee,Where,"Natural lake in the extreme southeast Berchtesgadener Land district of the German state of Bavaria, near the Austrian border"
Romantic Road,Where,Theme route in southern Germany
Hohenzollern Bridge,Where,Bridge crossing the river Rhine in the German city of Cologne
Elbe Philharmonic Hall,Where,"Concert hall in the HafenCity quarter of Hamburg, Germany"
Speicherstadt,Where,"Largest warehouse district in the world where the buildings stand on timber-pile foundations, oak logs, in this particular case"
Port of Hamburg,Where,"Seaport on the river Elbe in Hamburg, Germany, 110 kilometres from its mouth on the North Sea"
Wadden Sea,Where,Intertidal zone in the southeastern part of the North Sea
Mainau,Where,Island in Lake Constance
Rhine Falls,Where,Waterfall located in Switzerland on the High Rhine river
Chapel Bridge,Where,Covered wooden footbridge spanning the river Reuss in the city of Lucerne in central Switzerland
Lion Monument,Where,"Rock relief in Lucerne, Switzerland"
Mount Pilatus,Where,Mountain massif overlooking Lucerne in Central Switzerland
Mount Rigi,Where,"Mountain in the Alps, located in Central Switzerland"
Lake Lucerne,Where,Lake in central Switzerland and the fourth largest in the country
Lake Geneva,Where,"Lake on the north side of the Alps, shared between Switzerland and France"
Jet d'Eau,Where,"Large fountain in Geneva, Switzerland"
St. Pierre Cathedral,Where,"Cathedral in Geneva, Switzerland"
Palace of Nations,Where,Home of the United Nations Office at Geneva
CERN,Where,European research organization that operates the largest particle physics laboratory in the world
Chillon Castle,Where,"Island castle located on Lake Geneva, south of Veytaux in the canton of Vaud"
Jungfrau,Where,"One of the main summits of the Bernese Alps, located between the northern canton of Bern and the southern canton of Valais, halfway between Interlaken and Fiesch"
Eiger,Where,"3,967-metre mountain of the Bernese Alps, overlooking Grindelwald and Wengen in the Bernese Oberland of Switzerland"
Grindelwald,Where,Village and municipality in the Interlaken-Oberhasli administrative district in the canton of Bern in Switzerland
Lauterbrunnen,Where,Valley featuring rocky cliffs and 72 waterfalls
Schilthorn,Where,"2,970-metre-high summit of the Bernese Alps, overlooking the valley of Lauterbrunnen in the Swiss canton of Bern"
Titlis,Where,"Mountain of the Uri Alps, located on the border between the cantons of Obwalden and Bern"
Hofburg Palace,Where,Former principal imperial palace of the Habsburg dynasty rulers and today serves as the official residence and workplace of the President of Austria
Spanish Riding School,Where,Austrian institution dedicated to the preservation of classical dressage and the training of Lipizzaner horses
Danube Tower,Where,"Tower in Vienna, the tallest structure in Austria"
Wachau,Where,Austrian valley with a picturesque landscape formed by the Danube river
Melk Abbey,Where,"Benedictine abbey above the town of Melk, Lower Austria, Austria, on a rocky outcrop overlooking the Danube river"
Hohensalzburg Fortress,Where,"Large medieval fortress in the city of Salzburg, Austria"
Mozart's Birthplace,Where,"House in Salzburg, Austria, where Wolfgang Amadeus Mozart was born in 1756"
Mirabell Palace,Where,"Historical building in the city of Salzburg, Austria"
Hellbrunn Palace,Where,"Early Baroque villa of palatial size, near Morzg, a southern district of the city of Salzburg, Austria"
Grossglockner High Alpine Road,Where,Highest surfaced mountain pass road in Austria
Eisriesenwelt,Where,"Natural limestone and ice cave located in Werfen, Austria, about 40 km south of Salzburg"
Prague Castle,Where,"Castle complex in Prague, Czech Republic"
St. Vitus Cathedral,Where,"Metropolitan Cathedral of Saints Vitus, Wenceslaus and Adalbert is a Roman Catholic metropolitan cathedral in Prague, the seat of the Archbishop of Prague"
Charles Bridge,Where,"Medieval stone arch bridge that crosses the Vltava river in Prague, Czech Republic"
Old Town Square,Where,"Prague,Historic square in the Old Town quarter of Prague, the capital of the Czech Republic"
Prague Astronomical Clock,Where,Medieval astronomical clock attached to the Old Town Hall in Prague
Jewish Quarter,Where,"Prague,Town quarter in Prague, Czech Republic"
Dancing House,Where,"Nickname given to the Nationale-Nederlanden building in Prague, Czech Republic"
Karlovy Vary,Where,Spa city in the west Bohemian region of the Czech Republic
Fisherman's Bastion,Where,"One of the best known monuments in Budapest, located near the Buda Castle, in the 1st district of Budapest"
Buda Castle,Where,Historical castle and palace complex of the Hungarian kings in Budapest
Matthias Church,Where,Roman Catholic church located in front of the Fisherman's Bastion at the heart of Buda's Castle District
Hungarian Parliament Building,Where,"Seat of the National Assembly of Hungary, a notable landmark of Hungary, and a popular tourist destination in Budapest"
St. Stephen's Basilica,Where,"Budapest,Roman Catholic basilica in Budapest, Hungary"
Szechenyi Thermal Bath,Where,Largest medicinal bath in Europe
Chain Bridge,Where,"Suspension bridge that spans the River Danube between Buda and Pest, the western and eastern sides of Budapest"
Margaret Island,Where,"2.5 km long island, 500 metres wide, in the middle of the Danube in central Budapest"
Heroes' Square,Where,"Budapest,One of the major squares in Budapest, Hungary"
Lake Balaton,Where,Freshwater lake in the Transdanubian region of Hungary
Wieliczka Salt Mine,Where,"Former salt mine in the town of Wieliczka, in southern Poland"
Warsaw Old Town,Where,"Oldest part of Warsaw, the capital city of Poland"
Royal Castle,Where,"Warsaw,Castle residency that formerly served throughout the centuries as the official residence of the Polish monarchs"
Palace of Culture and Science,Where,"Notable high-rise building in central Warsaw, Poland"
Warsaw Uprising Museum,Where,"Museum in Warsaw, Poland, dedicated to the Warsaw Uprising of 1944"
POLIN Museum of the History of Polish Jews,Where,Museum on the site of the former Warsaw Ghetto
Malbork Castle,Where,"13th-century Teutonic castle and fortress located near the town of Malbork, Poland"
BiaÅ‚owieÅ¼a Forest,Where,One of the last and largest remaining parts of the immense primeval forest that once stretched across the European Plain
Masurian Lake District,Where,"Lake district in northeastern Poland containing more than 2,000 lakes"
Tatra Mountains,Where,Mountain range that forms a natural border between Slovakia and Poland
Tivoli Gardens,Where,"Amusement park and pleasure garden in Copenhagen, Denmark"
Christiansborg Palace,Where,"Palace and government building on the islet of Slotsholmen in central Copenhagen, Denmark"
Amalienborg,Where,Home of the Danish royal family
Skagen,Where,Denmark's northernmost town
Grenen,Where,Sandbar in Skagen
Skansen,Where,First open-air museum and zoo in Sweden
Stockholm City Hall,Where,Building of the Municipal Council for the City of Stockholm in central Stockholm
Gotland,Where,Sweden's largest island
Visby,Where,"Locality and the seat of Gotland Municipality in Gotland County, Sweden"
Oslo Opera House,Where,"Home of the Norwegian National Opera and Ballet, and the national opera theatre in Norway"
Vigeland Park,Where,"Sculpture park in the Frogner Park, Oslo"
Fram Museum,Where,Museum telling the story of Norwegian polar exploration
National Archaeological Museum,Where,"Athens,Largest archaeological museum in Greece and one of the most important museums in the world dedicated to ancient Greek art"
Meteora,Where,Rock formation in central Greece hosting one of the largest and most precipitously built complexes of Eastern Orthodox monasteries
Delos,Where,Greek island and archaeological site in the Aegean Sea's Cyclades archipelago
Milos,Where,"Volcanic Greek island in the Aegean Sea, just north of the Sea of Crete"
Mount Athos,Where,Mountain and peninsula in northeastern Greece and an important centre of Eastern Orthodox monasticism
Lenin's Mausoleum,Where,Mausoleum that serves as the resting place of Soviet leader Vladimir Lenin
Pushkin Museum,Where,Largest museum of European art in Moscow
Hermitage Museum,Where,"Museum of art and culture in Saint Petersburg, Russia"
Winter Palace,Where,Former residence in Saint Petersburg of the Russian monarchs
Peterhof Palace,Where,"Series of palaces and gardens located in Petergof, Saint Petersburg, Russia"
Catherine Palace,Where,"Rococo palace located in the town of Tsarskoye Selo, 30 km south of St. Petersburg, Russia"
Church of the Savior on Spilled Blood,Where,"Former Russian Orthodox church in Saint Petersburg, Russia"
St. Isaac's Cathedral,Where,"Large architectural landmark cathedral that currently functions as a museum in Saint Petersburg, Russia"
Peter and Paul Fortress,Where,"Original citadel of St. Petersburg, Russia"
Nevsky Prospekt,Where,Main street in the federal city of St. Petersburg in Russia
Addis Ababa,Where,Capital of Ethiopia
Amman,Where,Capital of Jordan
Andes Mountains,Where,Mountain range in South America
Armenia,Where,Asian country
Asuncion,Where,Capital of Paraguay
Australian Outback,Where,Remote region of Australia
Bahrain,Where,Asian country
Bangladesh,Where,Asian country
Beirut,Where,Capital of Lebanon
Belarus,Where,European country
Belgrade,Where,Capital of Serbia
Belize,Where,North American country
Bhutan,Where,Asian country
Bolivia,Where,South American country
Bratislava,Where,Capital of Slovakia
Bucharest,Where,Capital of Romania
Burkina Faso,Where,African country
Burundi,Where,African country
Cameroon,Where,African country
Chile,Where,South American country
Colombo,Where,City in Sri Lanka
Congo (Democratic Republic),Where,African country
Congo (Republic of the),Where,African country
Dar es Salaam,Where,City in Tanzania
Doha,Where,Capital of Qatar
Dominican Republic,Where,North American country
Estonia,Where,European country
Gambia,Where,African country
Gibraltar,Where,British island territory
Johannesburg,Where,City in South Africa
Jordan,Where,Asian country
Khartoum,Where,Capital of Sudan
K2,Where,Second highest mountain in the world
Kyiv,Where,Capital of Ukraine
La Paz,Where,Capital of Bolivia
Latvia,Where,European country
Lebanon,Where,Asian country
Libya,Where,African country
Lithuania,Where,European country
Luxembourg,Where,European country
Managua,Where,Capital of Nicaragua
Mauritania,Where,African country
Micronesia,Where,Oceanian country
Mogadishu,Where,Capital of Somalia
Moldova,Where,European country
Mongolia,Where,Asian country
Montevideo,Where,Capital of Uruguay
Morocco,Where,African country
Muscat,Where,Capital of Oman
Nairobi,Where,Capital of Kenya
Namibia,Where,African country
New Brunswick,Where,Canadian province
Nicaragua,Where,North American country
Niger,Where,African country
North Macedonia,Where,European country
Northern Territory,Where,Australian territory
Notre-Dame de Paris,Where,"Cathedral in Paris, France"
Nova Scotia,Where,Canadian province
Oceania,Where,Region in the Pacific
Oklahoma,Where,US state
Oman,Where,Asian country
Ontario,Where,Canadian province
Pakistan,Where,Asian country
Palau,Where,Oceanian country
Palestine,Where,Middle Eastern territory
Panama,Where,North American country
Paraguay,Where,South American country
Praia,Where,Capital of Cape Verde
Riga,Where,Capital of Latvia
Sierra Leone,Where,African country
Skopje,Where,Capital of North Macedonia
Slovakia,Where,European country
Slovenia,Where,European country
Suriname,Where,South American country
Tajikistan,Where,Asian country
Tbilisi,Where,Capital of Georgia
Togo,Where,African country
Tripoli,Where,Capital of Libya
Tunis,Where,Capital of Tunisia
Uganda,Where,African country
Uruguay,Where,South American country
Venezuela,Where,South American country
Vietnam,Where,Asian country
Western Sahara,Where,Territory in North Africa
Wisconsin,Where,US state
Yemen,Where,Asian country
Yerevan,Where,Capital of Armenia
Zagreb,Where,Capital of Croatia
Zambia,Where,African country
Zimbabwe,Where,African country
United Arab Emirates,Where,Asian country
Great Wall of China,Where,Ancient fortification in Asia
Sydney Opera House,Where,Famous Australian landmark
Statue of Liberty,Where,Gift from France in NYC
Colosseum,Where,Roman amphitheater in Italy
Taj Mahal,Where,Marble mausoleum in India
Machu Picchu,Where,Incan citadel in Peru
Pyramids of Giza,Where,Ancient tombs in Egypt
Uluru,Where,Large sandstone rock in Australia
Grand Canyon,Where,Massive gorge in Arizona USA
Amazon Rainforest,Where,Largest tropical rainforest
Mount Everest,Where,World's highest peak
Niagara Falls,Where,Waterfalls on US-Canada border
St. Peter's Basilica,Where,Church in Vatican City
Venice,Where,City of canals in Italy
Santorini,Where,Greek island with white buildings
Jerusalem,Where,Holy city in the Middle East
Moscow,Where,Capital of Russia
Beijing,Where,Capital of China
Tokyo,Where,Capital of Japan
London,Where,Capital of England
Paris,Where,Capital of France
Rome,Where,Capital of Italy
New York City,Where,The Big Apple
Los Angeles,Where,City of Angels
Berlin,Where,Capital of Germany
Madrid,Where,Capital of Spain
Hong Kong,Where,Special administrative region of China
Dubai,Where,City in the UAE
Sydney,Where,Largest city in Australia
Melbourne,Where,Coastal capital of Victoria Australia
Auckland,Where,Largest city in New Zealand
Toronto,Where,Largest city in Canada
Vancouver,Where,City in British Columbia Canada
Rio de Janeiro,Where,City in Brazil
Buenos Aires,Where,Capital of Argentina
Cape Town,Where,Port city in South Africa
Amsterdam,Where,Capital of the Netherlands
Prague,Where,Capital of the Czech Republic
Vienna,Where,Capital of Austria
Budapest,Where,Capital of Hungary
Warsaw,Where,Capital of Poland
Dublin,Where,Capital of Ireland
Edinburgh,Where,Capital of Scotland
Stockholm,Where,Capital of Sweden
Oslo,Where,Capital of Norway
Copenhagen,Where,Capital of Denmark
Helsinki,Where,Capital of Finland
Reykjavik,Where,Capital of Iceland
Wellington,Where,Capital of New Zealand
Canberra,Where,Capital of Australia
Ottawa,Where,Capital of Canada
Washington D.C.,Where,Capital of the United States
Mexico City,Where,Capital of Mexico
Lima,Where,Capital of Peru
Santiago,Where,Capital of Chile
Havana,Where,Capital of Cuba
Kingston,Where,Capital of Jamaica
Seoul,Where,Capital of South Korea
Hanoi,Where,Capital of Vietnam
Kuala Lumpur,Where,Capital of Malaysia
Manila,Where,Capital of the Philippines
New Delhi,Where,Capital of India
Islamabad,Where,Capital of Pakistan
Thimphu,Where,Capital of Bhutan
Riyadh,Where,Capital of Saudi Arabia
Tehran,Where,Capital of Iran
Baghdad,Where,Capital of Iraq
Damascus,Where,Capital of Syria
Ankara,Where,Capital of Turkey
Athens,Where,Capital of Greece
Lisbon,Where,Capital of Portugal
Brussels,Where,Capital of Belgium
Bern,Where,Capital of Switzerland
Luxembourg City,Where,Capital of Luxembourg
Monaco,Where,Microstate on the French Riviera
Vatican City,Where,Smallest country in the world
Malta,Where,Island country in the Mediterranean
Cyprus,Where,Island country in the Mediterranean
Ibiza,Where,Spanish island known for nightlife
Majorca,Where,Largest of Spain's Balearic Islands
Tenerife,Where,Largest of Spain's Canary Islands
Fiji,Where,Island country in Melanesia
Hawaii,Where,US state of islands in the Pacific
Bali,Where,Indonesian island known for temples
Phuket,Where,Island province in Thailand
Maldives,Where,Archipelago nation in the Indian Ocean
Great Barrier Reef,Where,World's largest coral reef system
The Outback,Where,Vast remote interior of Australia
Bondi Beach,Where,Famous beach in Sydney
Waikiki Beach,Where,Famous beach in Honolulu
Copacabana Beach,Where,Famous beach in Rio de Janeiro
Ipanema Beach,Where,Famous beach in Rio de Janeiro
South Beach,Where,Famous beach in Miami
Venice Beach,Where,Famous beach in Los Angeles
The French Riviera,Where,Mediterranean coast of France
Amalfi Coast,Where,Stretch of coastline in Italy
Cliffs of Moher,Where,Sea cliffs in Ireland
Giant's Causeway,Where,Area of basalt columns in Northern Ireland
Scottish Highlands,Where,Mountainous region of Scotland
Loch Ness,Where,Large deep freshwater loch in Scotland
Stonehenge,Where,Prehistoric monument in England
Bath,Where,City in England known for Roman baths
Cambridge,Where,University city in England
Oxford,Where,University city in England
The Vatican,Where,Home of the Pope
Red Square,Where,City square in Moscow
Tiananmen Square,Where,City square in Beijing
Hollywood,Where,Neighborhood in Los Angeles
Las Vegas Strip,Where,Stretch of Las Vegas Boulevard
Times Square,Where,Major intersection in Manhattan
Central Park,Where,Urban park in Manhattan
Golden Gate Bridge,Where,Suspension bridge in San Francisco
Alcatraz Island,Where,Former prison in San Francisco Bay
Yosemite National Park,Where,National Park in California
Yellowstone National Park,Where,National Park in Wyoming
Zion National Park,Where,National Park in Utah
Rocky Mountains,Where,Major mountain range in North America
Appalachian Mountains,Where,Mountain range in Eastern North America
The Alps,Where,Mountain range in Europe
The Himalayas,Where,Mountain range in Asia
The Andes,Where,Mountain range in South America
Mount Fuji,Where,Japan's highest mountain
Matterhorn,Where,Mountain in the Alps
Mont Blanc,Where,Highest mountain in the Alps
Denali,Where,Highest mountain peak in North America
Ayers Rock,Where,Alternative name for Uluru
The Kimberley,Where,Region in Western Australia
Kakadu National Park,Where,National Park in the Northern Territory
Daintree Rainforest,Where,Rainforest in Queensland
Fraser Island,Where,World's largest sand island
Great Ocean Road,Where,Scenic drive in Victoria Australia
Twelve Apostles,Where,Limestone stacks off the Australian coast
Wineglass Bay,Where,Bay in Tasmania
Bay of Fires,Where,Bay in Tasmania
Rottnest Island,Where,Island off Western Australia
Margaret River,Where,Region in Western Australia known for wine
Barossa Valley,Where,Wine region in South Australia
Hunter Valley,Where,Wine region in New South Wales
Yarra Valley,Where,Wine region in Victoria
Napa Valley,Where,Wine region in California
Bordeaux,Where,Wine region in France
Tuscany,Where,Region in Italy known for wine
Champagne,Where,Wine region in France
Provence,Where,Region in France
Normandy,Where,Region in France
Brittany,Where,Region in France
Bavaria,Where,State in Germany
Black Forest,Where,Forested mountain range in Germany
Neuschwanstein Castle,Where,Castle in Bavaria
Versailles,Where,Royal palace in France
Buckingham Palace,Where,Royal residence in London
Windsor Castle,Where,Royal residence in Berkshire
Sistine Chapel,Where,Chapel in the Apostolic Palace
St. Mark's Square,Where,Principal public square of Venice
Pompeii,Where,Ancient Roman city near Naples
Herculaneum,Where,Ancient Roman town near Naples
Mount Vesuvius,Where,Volcano that destroyed Pompeii
Mount Etna,Where,Active volcano in Sicily
Northern Lights,Where,Natural light display
Antarctica,Where,Earth's southernmost continent
Sahara Desert,Where,Largest hot desert in the world
Gobi Desert,Where,Large desert region in Asia
Death Valley,Where,Desert valley in California
Nile River,Where,Longest river in the world
Amazon River,Where,Largest river by discharge volume
Yangtze River,Where,Longest river in Asia
Mississippi River,Where,Chief river of the second-largest drainage system in North America
Rhine River,Where,River in Western Europe
Thames River,Where,River flowing through London
Seine River,Where,River flowing through Paris
Tiber River,Where,River flowing through Rome
Lake Superior,Where,Largest of the Great Lakes of North America
Lake Michigan,Where,One of the Great Lakes of North America
Lake Huron,Where,One of the Great Lakes of North America
Lake Erie,Where,One of the Great Lakes of North America
Lake Ontario,Where,One of the Great Lakes of North America
Dead Sea,Where,Salt lake bordered by Jordan and Israel
Victoria Falls,Where,Waterfall on the Zambezi River
Pearl Harbor,Where,US naval base in Hawaii
Silicon Valley,Where,Region in Northern California
Wall Street,Where,Financial district of New York City
The City of London,Where,Financial district of London
La Rambla,Where,Street in central Barcelona
Abbey Road,Where,Street in London famous for its recording studio
Route 66,Where,Historic highway in the US
Pacific Coast Highway,Where,Highway along the coast of California
Serengeti,Where,Ecosystem in Africa
Masai Mara,Where,National reserve in Kenya
Kruger National Park,Where,National Park in South Africa
Casablanca,Where,City in Morocco
Fes,Where,City in Morocco
Alexandria,Where,City in Egypt
Luxor,Where,City in Egypt
Valley of the Kings,Where,Valley in Egypt where pharaohs were buried
Abu Simbel,Where,Temple complex in Egypt
Siena,Where,City in Italy
Verona,Where,City in Italy
Naples,Where,City in Italy
Milan,Where,City in Italy
Turin,Where,City in Italy
Genoa,Where,City in Italy
Bologna,Where,City in Italy
Palermo,Where,City in Sicily
Catania,Where,City in Sicily
Marseille,Where,City in France
Lyon,Where,City in France
Nice,Where,City in France
Cannes,Where,City on the French Riviera
St. Tropez,Where,Town on the French Riviera
Avignon,Where,City in Provence France
Strasbourg,Where,City in France
Frankfurt,Where,City in Germany
Munich,Where,City in Germany
Hamburg,Where,City in Germany
Cologne,Where,City in Germany
Stuttgart,Where,City in Germany
Hanover,Where,City in Germany
Geneva,Where,City in Switzerland
Zurich,Where,City in Switzerland
Interlaken,Where,Town in Switzerland
Zermatt,Where,Town in Switzerland
St. Moritz,Where,Resort town in Switzerland
Davos,Where,Town in Switzerland
Salzburg,Where,City in Austria
Innsbruck,Where,City in Austria
Hallstatt,Where,Village in Austria
Rotterdam,Where,City in the Netherlands
The Hague,Where,City in the Netherlands
Utrecht,Where,City in the Netherlands
Antwerp,Where,City in Belgium
Bruges,Where,City in Belgium
Barcelona,Where,City in Spain
Seville,Where,City in Spain
Valencia,Where,City in Spain
Malaga,Where,City in Spain
Porto,Where,City in Portugal
Sintra,Where,Town in Portugal
Algarve,Where,Region in Portugal
Madeira,Where,Portuguese archipelago
Azores,Where,Portuguese archipelago
Hoi An,Where,City in Vietnam
Ha Long Bay,Where,Bay in Vietnam
Siem Reap,Where,City in Cambodia
Luang Prabang,Where,City in Laos
Chiang Mai,Where,City in Thailand
Krabi,Where,Province in Thailand
Penang,Where,Island state in Malaysia
Borneo,Where,Large island in Southeast Asia
Sumatra,Where,Large island in Indonesia
